Student Name,Score
student1,20
student2,14
student3,19
student4,44
student5,36
student6,22
student7,48
student8,23
student9,31
student10,1
student11,28
student12,39
student13,50
student14,18
student15,3
student16,43
student17,45
student18,48
student19,32
student20,22
student21,48
student22,44
student23,24
student24,21
student25,35
student26,27
student27,34
student28,30
student29,42
student30,8
student31,31
student32,8
student33,0
student34,3
student35,23
student36,4
student37,30
student38,2
student39,44
student40,31
student41,15
student42,22
student43,1
student44,27
student45,46
student46,41
student47,10
student48,28
student49,43
student50,28
student51,30
student52,42
student53,32
student54,4
student55,47
student56,43
student57,14
student58,45
student59,47
student60,8
student61,4
student62,23
student63,3
student64,8
student65,28
student66,41
student67,14
student68,28
student69,13
student70,14
student71,0
student72,35
student73,49
student74,12
student75,45
student76,18
student77,10
student78,17
student79,50
student80,41
student81,12
student82,40
student83,46
student84,10
student85,18
student86,37
student87,47
student88,6
student89,37
student90,5
student91,20
student92,50
student93,10
student94,17
student95,33
student96,8
student97,31
student98,28
student99,22
student100,5
student101,34
student102,5
student103,32
student104,43
student105,46
student106,11
student107,34
student108,42
student109,42
student110,23
student111,3
student112,15
student113,11
student114,0
student115,21
student116,48
student117,38
student118,8
student119,14
student120,38
student121,0
student122,37
student123,16
student124,47
student125,31
student126,41
student127,41
student128,6
student129,46
student130,43
student131,28
student132,46
student133,27
student134,24
student135,18
student136,5
student137,0
student138,38
student139,12
student140,15
student141,33
student142,35
student143,16
student144,18
student145,9
student146,42
student147,47
student148,5
student149,9
student150,45
student151,48
student152,42
student153,39
student154,35
student155,1
student156,14
student157,29
student158,3
student159,7
student160,21
student161,16
student162,23
student163,19
student164,11
student165,15
student166,39
student167,1
student168,49
student169,44
student170,27
student171,31
student172,26
student173,14
student174,41
student175,11
student176,46
student177,13
student178,32
student179,17
student180,44
student181,22
student182,15
student183,47
student184,35
student185,22
student186,11
student187,14
student188,25
student189,16
student190,50
student191,27
student192,2
student193,49
student194,17
student195,36
student196,20
student197,49
student198,12
student199,19
student200,14
student201,18
student202,1
student203,38
student204,44
student205,40
student206,48
student207,6
student208,29
student209,37
student210,6
student211,22
student212,42
student213,40
student214,23
student215,12
student216,48
student217,38
student218,20
student219,27
student220,41
student221,48
student222,0
student223,35
student224,20
student225,6
student226,38
student227,46
student228,42
student229,41
student230,39
student231,24
student232,15
student233,12
student234,15
student235,41
student236,34
student237,50
student238,31
student239,4
student240,33
student241,4
student242,37
student243,19
student244,13
student245,5
student246,32
student247,13
student248,17
student249,30
student250,0
student251,30
student252,11
student253,36
student254,7
student255,48
student256,47
student257,31
student258,40
student259,0
student260,23
student261,47
student262,39
student263,3
student264,29
student265,45
student266,48
student267,23
student268,18
student269,0
student270,23
student271,44
student272,50
student273,2
student274,9
student275,4
student276,41
student277,30
student278,20
student279,14
student280,43
student281,44
student282,2
student283,10
student284,26
student285,36
student286,36
student287,20
student288,26
student289,24
student290,24
student291,14
student292,10
student293,20
student294,32
student295,38
student296,39
student297,25
student298,47
student299,7
student300,18
student301,44
student302,27
student303,30
student304,39
student305,4
student306,40
student307,20
student308,21
student309,35
student310,27
student311,6
student312,32
student313,15
student314,7
student315,25
student316,16
student317,46
student318,23
student319,7
student320,13
student321,4
student322,11
student323,7
student324,26
student325,44
student326,50
student327,26
student328,21
student329,50
student330,49
student331,49
student332,26
student333,7
student334,37
student335,47
student336,23
student337,42
student338,21
student339,8
student340,50
student341,39
student342,33
student343,16
student344,36
student345,50
student346,40
student347,29
student348,18
student349,25
student350,32
student351,9
student352,1
student353,10
student354,50
student355,33
student356,30
student357,20
student358,28
student359,1
student360,27
student361,7
student362,16
student363,17
student364,8
student365,14
student366,38
student367,30
student368,36
student369,17
student370,18
student371,47
student372,13
student373,21
student374,25
student375,44
student376,12
student377,44
student378,35
student379,17
student380,47
student381,24
student382,42
student383,0
student384,46
student385,21
student386,21
student387,35
student388,21
student389,4
student390,42
student391,35
student392,23
student393,26
student394,16
student395,24
student396,12
student397,43
student398,24
student399,27
student400,0
student401,48
student402,19
student403,18
student404,17
student405,43
student406,34
student407,7
student408,4
student409,48
student410,44
student411,24
student412,48
student413,27
student414,5
student415,21
student416,42
student417,46
student418,21
student419,46
student420,29
student421,11
student422,1
student423,4
student424,23
student425,26
student426,35
student427,36
student428,26
student429,44
student430,1
student431,3
student432,41
student433,48
student434,27
student435,44
student436,48
student437,4
student438,18
student439,47
student440,19
student441,44
student442,5
student443,6
student444,45
student445,10
student446,34
student447,8
student448,36
student449,10
student450,1
student451,24
student452,43
student453,17
student454,32
student455,26
student456,49
student457,40
student458,19
student459,38
student460,6
student461,0
student462,12
student463,11
student464,45
student465,18
student466,26
student467,9
student468,0
student469,25
student470,24
student471,7
student472,42
student473,2
student474,2
student475,31
student476,31
student477,7
student478,45
student479,20
student480,30
student481,23
student482,12
student483,46
student484,45
student485,35
student486,11
student487,48
student488,8
student489,17
student490,42
student491,32
student492,28
student493,20
student494,44
student495,25
student496,23
student497,18
student498,2
student499,9
student500,4
student501,27
student502,27
student503,24
student504,35
student505,12
student506,7
student507,35
student508,9
student509,10
student510,46
student511,18
student512,49
student513,4
student514,15
student515,35
student516,43
student517,39
student518,3
student519,13
student520,44
student521,40
student522,48
student523,38
student524,18
student525,22
student526,19
student527,21
student528,9
student529,21
student530,13
student531,2
student532,37
student533,40
student534,2
student535,24
student536,43
student537,23
student538,11
student539,23
student540,49
student541,35
student542,45
student543,7
student544,48
student545,25
student546,28
student547,42
student548,19
student549,29
student550,44
